"SalesDate","Organization","DayOfInterest","DayOfInterestCode","DayOfWeek","DayOfWeekCode","InKingCounty","InKitsapCounty","InPierceCounty","InSnohomishCounty","InSpokaneCounty","InVancouver","IsOrdinaryDay","Log1pDaysSinceOpening","NumLocationsGroup"
2017-06-27,"112TH STREET CANNABIS","N/A",0,"Tuesday",2,0,0,1,0,0,0,1,5.8111409929767,1
2017-06-28,"112TH STREET CANNABIS","N/A",0,"Wednesday",2,0,0,1,0,0,0,1,5.81413053182507,1
2017-06-29,"112TH STREET CANNABIS","N/A",0,"Thursday",2,0,0,1,0,0,0,1,5.8171111599632,1
2017-06-30,"112TH STREET CANNABIS","N/A",0,"Friday",3,0,0,1,0,0,0,1,5.82008293035236,1
2017-04-01,"2020 SOLUTIONS","N/A",0,"Saturday",3,0,0,0,0,0,0,1,6.63331843328038,2
2017-04-02,"2020 SOLUTIONS","N/A",0,"Sunday",1,0,0,0,0,0,0,1,6.63463335786169,2
2017-04-03,"2020 SOLUTIONS","N/A",0,"Monday",2,0,0,0,0,0,0,1,6.63594655568665,2
2017-04-04,"2020 SOLUTIONS","N/A",0,"Tuesday",2,0,0,0,0,0,0,1,6.63725803128446,2
2017-04-05,"2020 SOLUTIONS","N/A",0,"Wednesday",2,0,0,0,0,0,0,1,6.63856778916652,2
2017-04-06,"2020 SOLUTIONS","N/A",0,"Thursday",2,0,0,0,0,0,0,1,6.63987583382654,2
2017-04-07,"2020 SOLUTIONS","N/A",0,"Friday",3,0,0,0,0,0,0,1,6.64118216974059,2
2017-04-08,"2020 SOLUTIONS","N/A",0,"Saturday",3,0,0,0,0,0,0,1,6.64248680136726,2
2017-04-09,"2020 SOLUTIONS","N/A",0,"Sunday",1,0,0,0,0,0,0,1,6.64378973314767,2
2017-04-10,"2020 SOLUTIONS","N/A",0,"Monday",2,0,0,0,0,0,0,1,6.64509096950564,2
2017-04-11,"2020 SOLUTIONS","N/A",0,"Tuesday",2,0,0,0,0,0,0,1,6.64639051484773,2
2017-04-12,"2020 SOLUTIONS","N/A",0,"Wednesday",2,0,0,0,0,0,0,1,6.64768837356333,2
2017-04-13,"2020 SOLUTIONS","N/A",0,"Thursday",2,0,0,0,0,0,0,1,6.64898455002478,2
2017-04-14,"2020 SOLUTIONS","N/A",0,"Friday",3,0,0,0,0,0,0,1,6.65027904858742,2
2017-04-15,"2020 SOLUTIONS","N/A",0,"Saturday",3,0,0,0,0,0,0,1,6.65157187358973,2
2017-04-16,"2020 SOLUTIONS","N/A",0,"Sunday",1,0,0,0,0,0,0,1,6.65286302935335,2
2017-04-17,"2020 SOLUTIONS","N/A",0,"Monday",2,0,0,0,0,0,0,1,6.65415252018322,2
2017-04-18,"2020 SOLUTIONS","N/A",0,"Tuesday",2,0,0,0,0,0,0,1,6.65544035036765,2
2017-04-19,"2020 SOLUTIONS","N/A",0,"Wednesday",2,0,0,0,0,0,0,1,6.65672652417839,2
2017-04-20,"2020 SOLUTIONS","FourTwenty",3,"Thursday",2,0,0,0,0,0,0,0,6.65801104587075,2
2017-04-21,"2020 SOLUTIONS","N/A",0,"Friday",3,0,0,0,0,0,0,1,6.65929391968364,2
2017-04-22,"2020 SOLUTIONS","N/A",0,"Saturday",3,0,0,0,0,0,0,1,6.66057514983969,2
2017-04-23,"2020 SOLUTIONS","N/A",0,"Sunday",1,0,0,0,0,0,0,1,6.66185474054531,2
2017-04-24,"2020 SOLUTIONS","N/A",0,"Monday",2,0,0,0,0,0,0,1,6.6631326959908,2
2017-04-25,"2020 SOLUTIONS","N/A",0,"Tuesday",2,0,0,0,0,0,0,1,6.66440902035041,2
2017-04-26,"2020 SOLUTIONS","N/A",0,"Wednesday",2,0,0,0,0,0,0,1,6.66568371778241,2
